method,metric,mean,ci95_low,ci95_high
prompt,recall,0.3734896643124896,0.35402812929004585,0.39349644792052313
prompt,precision,0.4449196770778294,0.4279862300981057,0.46219017918731886
prompt,f1,0.3588807889618387,0.3423993729611418,0.37575665249346735
prompt,fp,31.263057929724596,27.1557625796234,35.78055676602973
prompt,tp,50.18613485280152,41.95731153949602,59.54141858943863
prompt,fn,105.1604938271605,90.94577170236244,120.85387033626598
prompt,n_gt,155.346628679962,134.32642660617898,178.5758473362096
prompt,micro_recall,0.3230590536740433,0.2945045105002249,0.3517659014256387
full,recall,0.46721528578693566,0.44749390896741315,0.48704563270929263
full,precision,0.44226262966438484,0.42545818498664717,0.4601023445566827
full,f1,0.40557234480026694,0.38991155744468664,0.42157049600864277
full,fp,34.895536562203226,30.73630240186737,39.808472456739494
full,tp,58.10826210826211,48.85897581233466,68.76238983972884
full,fn,97.2383665716999,83.06871528979417,112.82706479978353
full,n_gt,155.346628679962,134.32642660617898,178.5758473362096
full,micro_recall,0.374055508008314,0.33763714303266734,0.4116847886846244
scale_prior,recall,0.43774736723872515,0.41824787590745943,0.45756053884516396
scale_prior,precision,0.4374109456719258,0.41999734535854105,0.4557213405684422
scale_prior,f1,0.3901329182944715,0.3742299672167861,0.4066034104662431
scale_prior,fp,34.40455840455841,30.193619686548047,39.35650605165646
scale_prior,tp,55.2355175688509,46.45420171124045,65.22579715636594
scale_prior,fn,100.11111111111111,85.642036624046,115.92121163160785
scale_prior,n_gt,155.346628679962,134.32642660617898,178.5758473362096
scale_prior,micro_recall,0.3555630272649468,0.32072471509471767,0.3913348977464325
matched,recall,0.43729920301660724,0.4174563310485953,0.4574637355303103
matched,precision,0.4309491632533475,0.4135865441497183,0.4488538315589412
matched,f1,0.3858740120914644,0.3698545492704296,0.40250158099320965
matched,fp,33.99240265906933,29.815334098692404,38.890526144413954
matched,tp,55.34377967711301,46.30685339274011,65.74278128173655
matched,fn,100.002849002849,85.51604342151442,115.82229253192598
matched,n_gt,155.346628679962,134.32642660617898,178.5758473362096
matched,micro_recall,0.35625993397725886,0.31971424968615436,0.3938089140284121
dense_1024,recall,0.6194202522026943,0.5980861229711113,0.6412349948059484
dense_1024,precision,0.43819264359072896,0.42290196397484214,0.45406387607749255
dense_1024,f1,0.4626120334217744,0.4468345254855643,0.47938665370852496
dense_1024,fp,55.75118708452042,49.92668200293553,62.205668540012894
dense_1024,tp,74.00759734093067,62.66673001311796,86.71293624612899
dense_1024,fn,81.33903133903134,67.28220705426791,96.63825723382197
dense_1024,n_gt,155.346628679962,134.32642660617898,178.5758473362096
dense_1024,micro_recall,0.476402983249786,0.42707559794242705,0.5264121430113681
dense_both,recall,0.7987168298638266,0.7818637947353163,0.8159304668098638
dense_both,precision,0.4001301885060125,0.38629707818357184,0.4145496429357131
dense_both,f1,0.4820105239083816,0.46776375017454985,0.4968012586912148
dense_both,fp,138.18993352326686,123.64001142682565,153.74846318004555
dense_both,tp,127.54131054131054,110.16272380655087,147.34552497205047
dense_both,fn,27.805318138651472,22.79036542841505,33.18919578758446
dense_both,n_gt,155.346628679962,134.32642660617898,178.5758473362096
dense_both,micro_recall,0.8210111260545299,0.7971894384830737,0.8447128900043267
