subset,num_queries,priver_num_queries,priver_hit_at_1,priver_hit_at_5,priver_hit_at_10,priver_precision_at_5,priver_precision_at_10,priver_recall_at_10,semantic_num_queries,semantic_hit_at_1,semantic_hit_at_5,semantic_hit_at_10,semantic_precision_at_5,semantic_precision_at_10,semantic_recall_at_10,delta_hit_at_1,delta_hit_at_5,delta_hit_at_10,delta_precision_at_5,delta_precision_at_10,delta_recall_at_10,dataset
all,5420,5420,0.7557195571955719,0.9166051660516604,0.9527675276752768,0.6874292742927429,0.6253048673343876,0.5696590832033182,5420,0.6562730627306274,0.8618081180811809,0.9136531365313652,0.6034071340713408,0.5669100333860483,0.5122330250218461,0.0994464944649445,0.0547970479704796,0.0391143911439114,0.084022140221402,0.0583948339483393,0.057426058181472,DOTA-v1.5
baseline_hit1_failure,1863,1863,0.4444444444444444,0.772410091250671,0.8647342995169082,0.3734836285560923,0.3288302277432712,0.412224061517504,1863,0.0,0.5979602791196994,0.748792270531401,0.2279119699409554,0.2462215320910973,0.3145486694158484,0.4444444444444444,0.1744498121309715,0.1159420289855072,0.1455716586151368,0.0826086956521738,0.0976753921016555,DOTA-v1.5
baseline_hit5_failure,749,749,0.1268357810413885,0.5033377837116155,0.6889185580774366,0.1602136181575434,0.1443257676902536,0.2484381378293362,749,0.0,0.0,0.3751668891855808,0.0,0.0584779706275033,0.1007362070135825,0.1268357810413885,0.5033377837116155,0.3137516688918558,0.1602136181575434,0.0858477970627503,0.1477019308157536,DOTA-v1.5
baseline_low_precision10,2223,2223,0.449842555105713,0.7980206927575348,0.8848403058929375,0.3582546108861899,0.2924812030075188,0.4521743177586347,2223,0.321187584345479,0.6639676113360324,0.7894736842105263,0.2345479082321187,0.2007583060214639,0.3383900295268927,0.1286549707602339,0.1340530814215024,0.0953666216824111,0.1237067026540711,0.0917228969860548,0.113784288231742,DOTA-v1.5
baseline_very_low_precision10,1321,1321,0.2566237698713096,0.6669190007570023,0.8069644208932627,0.2364875094625283,0.1909159727479182,0.3492203856400974,1321,0.1869795609386828,0.4602573807721423,0.6457229371688115,0.1138531415594246,0.0987130961392884,0.2041781184663112,0.0696442089326268,0.2066616199848599,0.1612414837244512,0.1226343679031036,0.0922028766086298,0.1450422671737862,DOTA-v1.5
sparse_objects,1936,1936,0.5661157024793388,0.8326446280991735,0.9008264462809916,0.4798898071625345,0.3881764069264069,0.6394825064337702,1936,0.4798553719008264,0.7365702479338843,0.824896694214876,0.3933195592286501,0.3399842581660763,0.5534973026419916,0.0862603305785124,0.0960743801652892,0.0759297520661157,0.0865702479338843,0.0481921487603305,0.0859852037917786,DOTA-v1.5
dense_objects,1852,1852,0.9287257019438444,0.9848812095032398,0.9956803455723542,0.8902807775377971,0.8550601666152423,0.4854575608507902,1852,0.8423326133909287,0.9703023758099352,0.9886609071274298,0.8120950323974082,0.7903193458809009,0.4566747032277547,0.0863930885529158,0.0145788336933045,0.0070194384449243,0.0781857451403889,0.0647408207343414,0.0287828576230355,DOTA-v1.5
few_positive_patches,1900,1900,0.608421052631579,0.84,0.9031578947368422,0.4919298245614035,0.4116065162907268,0.714701754385965,1900,0.4963157894736842,0.7373684210526316,0.8205263157894737,0.4184561403508773,0.3796591478696742,0.6372894736842105,0.1121052631578947,0.1026315789473684,0.0826315789473685,0.0734736842105261,0.0319473684210526,0.0774122807017544,DOTA-v1.5
many_positive_patches,1888,1888,0.8728813559322034,0.9745762711864406,0.9872881355932204,0.8322033898305083,0.803177966101695,0.335064220662607,1888,0.770656779661017,0.9544491525423728,0.9804025423728814,0.7421610169491526,0.7164194915254237,0.2981229876835864,0.1022245762711864,0.0201271186440678,0.0068855932203389,0.0900423728813557,0.0867584745762712,0.0369412329790206,DOTA-v1.5
small_objects,1792,1792,0.7946428571428571,0.9263392857142856,0.953125,0.6991071428571429,0.6395089285714286,0.5645694942381576,1792,0.6071428571428571,0.84765625,0.90625,0.5821428571428572,0.5662388392857143,0.4993791378125886,0.1875,0.0786830357142857,0.046875,0.1169642857142857,0.0732700892857143,0.0651903564255689,DOTA-v1.5
large_objects,1792,1792,0.7611607142857143,0.9375,0.9665178571428572,0.721875,0.6511798469387756,0.6186327922632361,1792,0.7421875,0.8956473214285714,0.9397321428571428,0.6628348214285715,0.6058673469387755,0.5671103181807682,0.0189732142857143,0.0418526785714286,0.0267857142857141,0.0590401785714285,0.0453125,0.0515224740824679,DOTA-v1.5
hard_composite,3372,3372,0.6180308422301305,0.8668446026097272,0.9240806642941874,0.5257611704230921,0.4523287013500536,0.5796474071517074,3372,0.447508896797153,0.777876631079478,0.8612099644128114,0.4178133649663899,0.3828743715754392,0.4992719593712682,0.1705219454329775,0.0889679715302491,0.062870699881376,0.1079478054567021,0.0694543297746144,0.0803754477804391,DOTA-v1.5
