group,delta_precision_at_10,num_queries
baseball-diamond,0.035377358490566,212
basketball-court,0.0698717948717949,156
bridge,0.09099999999999997,300
container-crane,-0.050000000000000044,8
ground-track-field,0.06373239436619721,284
harbor,0.0482758620689655,464
helicopter,0.0796875,64
large-vehicle,0.05553797468354427,632
plane,0.06654929577464797,284
roundabout,0.05335820895522392,268
ship,0.06413043478260871,552
small-vehicle,0.06909090909090909,1100
soccer-ball-field,0.04957627118644076,236
storage-tank,0.05125000000000002,240
swimming-pool,0.048790322580645085,248
tennis-court,0.026344086021505397,372
