Condition,$\Delta$P@10,$\Delta$nDCG@10,$\Delta$Object R@10
DOTA development,"\shortstack[r]{-0.0017\\{}[-0.0026, -0.0009]}","\shortstack[r]{-0.0010\\{}[-0.0019, -0.0002]}","\shortstack[r]{+0.0014\\{}[+0.0001, +0.0028]}"
DOTA / OpenCLIP,"\shortstack[r]{-0.0013\\{}[-0.0029, +0.0004]}","\shortstack[r]{-0.0011\\{}[-0.0026, +0.0005]}","\shortstack[r]{+0.0009\\{}[-0.0015, +0.0034]}"
SODA-A / OpenCLIP,"\shortstack[r]{-0.0006\\{}[-0.0024, +0.0012]}","\shortstack[r]{-0.0008\\{}[-0.0025, +0.0009]}","\shortstack[r]{+0.0065\\{}[+0.0029, +0.0104]}"
DOTA / GeoRSCLIP,"\shortstack[r]{+0.0008\\{}[-0.0008, +0.0024]}","\shortstack[r]{+0.0002\\{}[-0.0014, +0.0019]}","\shortstack[r]{+0.0070\\{}[+0.0024, +0.0118]}"
DOTA / RemoteCLIP,"\shortstack[r]{+0.0000\\{}[-0.0017, +0.0017]}","\shortstack[r]{-0.0011\\{}[-0.0027, +0.0005]}","\shortstack[r]{+0.0049\\{}[+0.0024, +0.0079]}"
"DOTA subset / 512/1024, 25\%","\shortstack[r]{-0.0027\\{}[-0.0069, +0.0012]}","\shortstack[r]{-0.0036\\{}[-0.0069, -0.0001]}","\shortstack[r]{+0.0016\\{}[+0.0000, +0.0048]}"
"DOTA subset / 512/1024, 0\%","\shortstack[r]{+0.0005\\{}[-0.0023, +0.0034]}","\shortstack[r]{+0.0009\\{}[-0.0019, +0.0039]}","\shortstack[r]{+0.0000\\{}[+0.0000, +0.0000]}"
"DOTA subset / 384/768, 25\%","\shortstack[r]{+0.0005\\{}[-0.0041, +0.0048]}","\shortstack[r]{+0.0011\\{}[-0.0036, +0.0054]}","\shortstack[r]{+0.0039\\{}[-0.0003, +0.0109]}"
"SODA-A subset / 512/1024, 25\%","\shortstack[r]{-0.0071\\{}[-0.0128, -0.0019]}","\shortstack[r]{-0.0049\\{}[-0.0104, +0.0008]}","\shortstack[r]{-0.0029\\{}[-0.0117, +0.0021]}"
"SODA-A subset / 512/1024, 0\%","\shortstack[r]{-0.0026\\{}[-0.0063, +0.0014]}","\shortstack[r]{-0.0021\\{}[-0.0053, +0.0012]}","\shortstack[r]{-0.0028\\{}[-0.0093, +0.0031]}"
"SODA-A subset / 384/768, 25\%","\shortstack[r]{-0.0052\\{}[-0.0115, +0.0013]}","\shortstack[r]{-0.0048\\{}[-0.0095, -0.0003]}","\shortstack[r]{+0.0043\\{}[-0.0100, +0.0212]}"
