method,num_queries,precision_at_5,precision_at_10,ndcg_at_5,ndcg_at_10,unique_objects_at_5,unique_objects_at_10,object_recall_at_5,object_recall_at_10,dataset
semantic,5420,0.6034071340713397,0.566910033386045,0.6316951478912395,0.6468392742166168,21.18468634686347,29.38708487084871,0.6489014754144714,0.773104710814279,DOTA-v1.5
priver,5420,0.6859532595325937,0.6239764540502539,0.7227777902871731,0.7278366823009251,28.59557195571956,33.669372693726935,0.7691316157288186,0.856772705377976,DOTA-v1.5
semantic_nms_0.1,5420,0.5286900369003663,0.4856748960346665,0.460326430123322,0.3841425097037451,21.47011070110701,27.013284132841328,0.6198349408671807,0.7077528287326784,DOTA-v1.5
semantic_nms_0.3,5420,0.5862207872078732,0.5432232911614812,0.5660142147920942,0.5336561448856941,22.11734317343173,30.00922509225092,0.6650526083816044,0.784223597022664,DOTA-v1.5
semantic_nms_0.5,5420,0.5914575645756469,0.547938631172024,0.6018037337405496,0.587377143494796,22.04630996309963,30.01014760147601,0.6671083683364479,0.787807744911178,DOTA-v1.5
semantic_nms_0.7,5420,0.5952644526445281,0.5550091518772294,0.6169715480234107,0.6139930815824861,21.798339483394837,29.8190036900369,0.6621267197735323,0.7841638188427865,DOTA-v1.5
semantic,5452,0.4375641966250926,0.4141966250917075,0.4501425889128153,0.444880725369631,41.271093176815846,63.09134262655906,0.3167764798569762,0.4669685616882277,SODA-A
priver,5452,0.5300073367571552,0.4983859134262646,0.5507342511154316,0.5449586985952176,66.51650770359501,91.04475421863536,0.4740399794237454,0.6391580247933774,SODA-A
semantic_nms_0.1,5452,0.3961482024945018,0.3491776718023949,0.4171416663783022,0.388030903965659,42.17846661775495,64.62123991195891,0.3212861109117675,0.4718680829802035,SODA-A
semantic_nms_0.3,5452,0.4346294937637581,0.4102531181217887,0.447931641970702,0.4414176121244947,41.96221570066031,64.65755685986794,0.3242480265785536,0.4799907026059535,SODA-A
semantic_nms_0.5,5452,0.4347762289068249,0.4103998532648555,0.4480349426558037,0.4415363255737672,41.962032281731474,64.66526045487895,0.3243238160338663,0.4800899965996263,SODA-A
semantic_nms_0.7,5452,0.4363903154805589,0.4130227439471738,0.4493180221899342,0.4438488250986245,41.81713132795304,64.37417461482025,0.3221604785308027,0.4758073224033051,SODA-A
