method,control,threshold,metric,delta,ci95_low,ci95_high
full,prompt,0,precision_at_10,0.04405904059040555,0.03771863117870743,0.05044711057232452
full,prompt,0,ndcg_at_10,0.06579053850126837,0.05806456442504107,0.07351311676145966
full,prompt,0,object_recall_at_10,0.08729896758917477,0.07256488703671318,0.10312870221919011
full,prompt,16,precision_at_10,0.014538745387454033,0.007692307692307662,0.021345732586973774
full,prompt,16,ndcg_at_10,0.015848684647138178,0.006705589496994108,0.02511752267260342
full,prompt,16,object_recall_at_10,0.03408644134832561,0.021101344048839787,0.04765466609265065
full,prompt,64,precision_at_10,-0.0067896678966786195,-0.013298916724936858,-0.00043693598430054
full,prompt,64,ndcg_at_10,-0.037773437022637246,-0.0473406245874414,-0.028227696170923845
full,prompt,64,object_recall_at_10,-0.014488247606031956,-0.02585697518958771,-0.002848873098260816
full,prompt,256,precision_at_10,-0.017638376383763865,-0.023742755309247843,-0.012066276189276685
full,prompt,256,ndcg_at_10,-0.05315412545660725,-0.06324578223300348,-0.04306999166186436
full,prompt,256,object_recall_at_10,-0.022920042022702092,-0.03266925514988678,-0.013518670186804804
full,joint,0,precision_at_10,0.0012546125461254665,-0.0004424778761060788,0.002911226243052872
full,joint,0,ndcg_at_10,0.0010888456831069648,-0.0005253082889888377,0.002647638508160149
full,joint,0,object_recall_at_10,-0.0009406475637029343,-0.003374363980924211,0.0014907066530405577
full,joint,16,precision_at_10,0.0013284132841328011,-0.00036524345377842994,0.002989561153032258
full,joint,16,ndcg_at_10,0.0014161615041615727,-0.0002870924146202991,0.0030620538352429077
full,joint,16,object_recall_at_10,-0.00043972050718621425,-0.003279978705740072,0.0024510925809381745
full,joint,64,precision_at_10,-0.00022140221402189297,-0.0017152340967686557,0.001220442410373726
full,joint,64,ndcg_at_10,-0.0003740058667743851,-0.0019069998130298665,0.0010944284267774599
full,joint,64,object_recall_at_10,-0.0016572180439361484,-0.004842384641806616,0.0014156126357190322
full,joint,256,precision_at_10,-7.380073800727915e-05,-0.001388888888888884,0.001186085747657954
full,joint,256,ndcg_at_10,-4.7876874937236025e-05,-0.001450012242415262,0.0013365715916291584
full,joint,256,object_recall_at_10,-0.0006704339783566438,-0.003554937603644781,0.0019548855018804157
full,scale_prior,0,precision_at_10,0.010774907749076967,0.006569316131117542,0.01506533855381631
full,scale_prior,0,ndcg_at_10,0.018061659749710968,0.012436130285500422,0.02356913922481992
full,scale_prior,0,object_recall_at_10,-0.008249625759489065,-0.016955329907554297,0.00014619939397318894
full,scale_prior,16,precision_at_10,0.012103321033210213,0.007664743375232768,0.016666979714500426
full,scale_prior,16,ndcg_at_10,0.012996930064133938,0.0071432289637054615,0.01883880065558187
full,scale_prior,16,object_recall_at_10,-0.004114471197004255,-0.012298074736025913,0.003909705279970494
full,scale_prior,64,precision_at_10,0.012472324723247719,0.008370222388183487,0.016800321637427038
full,scale_prior,64,ndcg_at_10,0.004399094861550323,-0.001625733026453438,0.01049061592460269
full,scale_prior,64,object_recall_at_10,-0.0014279609477686472,-0.008424589854131822,0.005415870556164262
full,scale_prior,256,precision_at_10,0.009667896678967058,0.006387627963473551,0.013135083887221382
full,scale_prior,256,ndcg_at_10,0.00474489372386655,-4.639010643199526e-05,0.00964224277689279
full,scale_prior,256,object_recall_at_10,0.0034366620239519863,-0.002325771983265863,0.00959342320729368
full,matched,0,precision_at_10,0.008708487084870375,0.005235204855842055,0.012163222037557308
full,matched,0,ndcg_at_10,0.014844515378474754,0.009825508192870504,0.019738751354844073
full,matched,0,object_recall_at_10,0.005982809709605408,-0.0008191881445892168,0.013023056545644274
full,matched,16,precision_at_10,0.00819188191881881,0.004690962158240714,0.011666666666666497
full,matched,16,ndcg_at_10,0.013429824621520647,0.008571484052889896,0.018135327905875482
full,matched,16,object_recall_at_10,0.005484278590842662,-0.0006848349573984805,0.011926665409940609
full,matched,64,precision_at_10,0.0061254612546126075,0.003134062066384785,0.009207708779443158
full,matched,64,ndcg_at_10,0.00759978961495289,0.0032342252114442444,0.011924064832682683
full,matched,64,object_recall_at_10,0.0010141309343999483,-0.004933068596378476,0.006979301822926247
full,matched,256,precision_at_10,0.0020664206642067584,-0.0001505032973477552,0.00426918730385861
full,matched,256,ndcg_at_10,0.0033919487186151454,-0.0001346666737397903,0.006865637233757011
full,matched,256,object_recall_at_10,-0.003186298170536228,-0.007492927747606903,0.001160460219237813
