method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,P0003,large-vehicle,0,1.0,1.0,1.0
prompt,P0003,large-vehicle,16,1.0,1.0,1.0
prompt,P0003,large-vehicle,64,1.0,1.0,1.0
prompt,P0003,large-vehicle,256,0.8,0.8666957122118546,0.55
prompt,P0003,small-vehicle,0,0.7,0.9766325382721556,1.0
prompt,P0003,small-vehicle,16,0.7,0.9766325382721556,1.0
prompt,P0003,small-vehicle,64,0.5,0.7198038630822983,1.0
prompt,P0003,small-vehicle,256,0.0,0.0,0.0
prompt,P0004,large-vehicle,0,1.0,1.0,1.0
prompt,P0004,large-vehicle,16,1.0,1.0,1.0
prompt,P0004,large-vehicle,64,1.0,1.0,1.0
prompt,P0004,large-vehicle,256,0.9,0.9971876401972101,0.9425287356321839
prompt,P0004,small-vehicle,0,1.0,1.0,1.0
prompt,P0004,small-vehicle,16,1.0,1.0,1.0
prompt,P0004,small-vehicle,64,0.8,0.8201741356762527,1.0
prompt,P0004,small-vehicle,256,0.0,0.0,0.0
prompt,P0007,large-vehicle,0,1.0,1.0,0.93
prompt,P0007,large-vehicle,16,1.0,1.0,0.93
prompt,P0007,large-vehicle,64,1.0,1.0,0.93
prompt,P0007,large-vehicle,256,0.8,0.6698623505528798,0.7
prompt,P0007,small-vehicle,0,0.5,0.5988751049740155,0.6896551724137931
prompt,P0007,small-vehicle,16,0.5,0.5988751049740155,0.6896551724137931
prompt,P0007,small-vehicle,64,0.2,0.12987501165334076,0.3103448275862069
prompt,P0007,small-vehicle,256,0.0,0.0,0.0
prompt,P0019,harbor,0,0.9,0.9305687780632227,0.41818181818181815
prompt,P0019,harbor,16,0.9,0.9305687780632227,0.41818181818181815
prompt,P0019,harbor,64,0.9,0.9305687780632227,0.4
prompt,P0019,harbor,256,0.8,0.8572048559638628,0.23636363636363636
prompt,P0019,large-vehicle,0,0.0,0.0,0.0
prompt,P0019,large-vehicle,16,0.0,0.0,0.0
prompt,P0019,large-vehicle,64,0.0,0.0,0.0
prompt,P0019,large-vehicle,256,0.0,0.0,0.0
prompt,P0019,ship,0,0.6,0.6281649475693719,0.35714285714285715
prompt,P0019,ship,16,0.6,0.6281649475693719,0.35714285714285715
prompt,P0019,ship,64,0.5,0.5645441593704201,0.2857142857142857
prompt,P0019,ship,256,0.0,0.0,0.0
prompt,P0019,small-vehicle,0,0.8,0.857980942822373,0.4
prompt,P0019,small-vehicle,16,0.8,0.857980942822373,0.4
prompt,P0019,small-vehicle,64,0.8,0.857980942822373,0.4
prompt,P0019,small-vehicle,256,0.2,0.4367467095119258,0.04
prompt,P0027,harbor,0,0.9,0.9305687780632227,1.0
prompt,P0027,harbor,16,0.9,0.9305687780632227,0.96875
prompt,P0027,harbor,64,0.8,0.8454256604216017,0.59375
prompt,P0027,harbor,256,0.3,0.2795962051779312,0.15625
prompt,P0027,ship,0,0.4,0.5231737964779628,1.0
prompt,P0027,ship,16,0.2,0.3589542101716347,0.7142857142857143
prompt,P0027,ship,64,0.0,0.0,0.0
prompt,P0027,ship,256,0.0,0.0,0.0
prompt,P0027,small-vehicle,0,0.4,0.43828689407543014,1.0
prompt,P0027,small-vehicle,16,0.3,0.42391113584672746,0.6
prompt,P0027,small-vehicle,64,0.0,0.0,0.0
prompt,P0027,small-vehicle,256,0.0,0.0,0.0
prompt,P0047,baseball-diamond,0,1.0,1.0,1.0
prompt,P0047,baseball-diamond,16,1.0,1.0,1.0
prompt,P0047,baseball-diamond,64,1.0,1.0,1.0
prompt,P0047,baseball-diamond,256,1.0,1.0,1.0
prompt,P0047,ground-track-field,0,0.4,0.7190932595736889,1.0
prompt,P0047,ground-track-field,16,0.4,0.7190932595736889,1.0
prompt,P0047,ground-track-field,64,0.4,0.7190932595736889,1.0
prompt,P0047,ground-track-field,256,0.4,0.7190932595736889,1.0
prompt,P0047,large-vehicle,0,0.7,0.7631925784528223,0.75
prompt,P0047,large-vehicle,16,0.3,0.5857421563596757,0.5
prompt,P0047,large-vehicle,64,0.0,0.0,0.0
prompt,P0047,large-vehicle,256,0.0,0.0,0.0
prompt,P0047,small-vehicle,0,0.5,0.605504765619221,0.9908256880733946
prompt,P0047,small-vehicle,16,0.4,0.605782506766195,0.9724770642201835
prompt,P0047,small-vehicle,64,0.0,0.0,0.0
prompt,P0047,small-vehicle,256,0.0,0.0,0.0
prompt,P0047,soccer-ball-field,0,0.5,0.762926087775913,1.0
prompt,P0047,soccer-ball-field,16,0.5,0.762926087775913,1.0
prompt,P0047,soccer-ball-field,64,0.5,0.762926087775913,1.0
prompt,P0047,soccer-ball-field,256,0.5,0.762926087775913,1.0
prompt,P0053,large-vehicle,0,0.4,0.29657269092363936,0.5454545454545454
prompt,P0053,large-vehicle,16,0.4,0.29657269092363936,0.5454545454545454
prompt,P0053,large-vehicle,64,0.2,0.22290869782240583,0.2727272727272727
prompt,P0053,large-vehicle,256,0.0,0.0,0.0
prompt,P0053,ship,0,1.0,1.0,1.0
prompt,P0053,ship,16,1.0,1.0,1.0
prompt,P0053,ship,64,1.0,1.0,0.9620253164556962
prompt,P0053,ship,256,0.8,0.7877736340270854,0.5949367088607594
prompt,P0053,small-vehicle,0,0.8,0.826813366651774,0.9473684210526315
prompt,P0053,small-vehicle,16,0.8,0.826813366651774,0.8421052631578947
prompt,P0053,small-vehicle,64,0.7,0.7534494445524138,0.631578947368421
prompt,P0053,small-vehicle,256,0.4,0.9828920819566879,0.05263157894736842
prompt,P0056,large-vehicle,0,1.0,1.0,1.0
prompt,P0056,large-vehicle,16,1.0,1.0,1.0
prompt,P0056,large-vehicle,64,1.0,1.0,1.0
prompt,P0056,large-vehicle,256,1.0,1.0,1.0
prompt,P0056,small-vehicle,0,0.4,0.8485833840018,1.0
prompt,P0056,small-vehicle,16,0.4,0.8485833840018,1.0
prompt,P0056,small-vehicle,64,0.3,0.8179809735263114,1.0
prompt,P0056,small-vehicle,256,0.0,0.0,0.0
prompt,P0060,large-vehicle,0,0.2,0.28952298823485745,0.5
prompt,P0060,large-vehicle,16,0.2,0.3327372413301053,0.5
prompt,P0060,large-vehicle,64,0.1,0.46927872602275644,0.25
prompt,P0060,large-vehicle,256,0.0,0.0,0.0
prompt,P0060,ship,0,0.1,0.07075576072108061,0.25
prompt,P0060,ship,16,0.0,0.0,0.0
prompt,P0060,ship,64,0.0,0.0,0.0
prompt,P0060,ship,256,0.0,0.0,0.0
prompt,P0060,small-vehicle,0,1.0,1.0,0.3732193732193732
prompt,P0060,small-vehicle,16,1.0,1.0,0.32763532763532766
prompt,P0060,small-vehicle,64,0.3,0.2618080742270754,0.011396011396011397
prompt,P0060,small-vehicle,256,0.0,0.0,0.0
prompt,P0060,swimming-pool,0,1.0,1.0,0.4557823129251701
prompt,P0060,swimming-pool,16,1.0,1.0,0.4557823129251701
prompt,P0060,swimming-pool,64,1.0,1.0,0.4217687074829932
