image_id,class_name,threshold,object_recall_bound,target_objects,available_objects,qualified_patches
P0003,large-vehicle,0,1.0,40,40,11
P0003,large-vehicle,16,1.0,40,40,11
P0003,large-vehicle,64,1.0,40,40,11
P0003,large-vehicle,256,0.55,40,22,9
P0003,small-vehicle,0,1.0,15,15,7
P0003,small-vehicle,16,1.0,15,15,7
P0003,small-vehicle,64,1.0,15,15,5
P0003,small-vehicle,256,0.0,15,0,0
P0004,large-vehicle,0,1.0,87,87,10
P0004,large-vehicle,16,1.0,87,87,10
P0004,large-vehicle,64,1.0,87,87,10
P0004,large-vehicle,256,0.9425287356321839,87,82,9
P0004,small-vehicle,0,1.0,20,20,10
P0004,small-vehicle,16,1.0,20,20,10
P0004,small-vehicle,64,1.0,20,20,8
P0004,small-vehicle,256,0.0,20,0,0
P0007,large-vehicle,0,1.0,100,100,28
P0007,large-vehicle,16,1.0,100,100,28
P0007,large-vehicle,64,1.0,100,100,28
P0007,large-vehicle,256,1.0,100,100,24
P0007,small-vehicle,0,1.0,58,58,15
P0007,small-vehicle,16,1.0,58,58,15
P0007,small-vehicle,64,1.0,58,58,11
P0007,small-vehicle,256,0.0,58,0,0
P0019,harbor,0,1.0,55,55,70
P0019,harbor,16,1.0,55,55,70
P0019,harbor,64,1.0,55,55,69
P0019,harbor,256,0.9454545454545454,55,52,61
P0019,large-vehicle,0,1.0,1,1,2
P0019,large-vehicle,16,1.0,1,1,2
P0019,large-vehicle,64,1.0,1,1,1
P0019,large-vehicle,256,0.0,1,0,0
P0019,ship,0,1.0,28,28,43
P0019,ship,16,1.0,28,28,40
P0019,ship,64,0.7142857142857143,28,20,22
P0019,ship,256,0.03571428571428571,28,1,1
P0019,small-vehicle,0,1.0,25,25,29
P0019,small-vehicle,16,1.0,25,25,29
P0019,small-vehicle,64,0.8,25,20,20
P0019,small-vehicle,256,0.08,25,2,3
P0027,harbor,0,1.0,32,32,28
P0027,harbor,16,1.0,32,32,28
P0027,harbor,64,0.96875,32,31,26
P0027,harbor,256,0.3125,32,10,9
P0027,ship,0,1.0,7,7,14
P0027,ship,16,1.0,7,7,10
P0027,ship,64,0.0,7,0,0
P0027,ship,256,0.0,7,0,0
P0027,small-vehicle,0,1.0,5,5,11
P0027,small-vehicle,16,1.0,5,5,8
P0027,small-vehicle,64,0.0,5,0,0
P0027,small-vehicle,256,0.0,5,0,0
P0047,baseball-diamond,0,1.0,3,3,11
P0047,baseball-diamond,16,1.0,3,3,11
P0047,baseball-diamond,64,1.0,3,3,11
P0047,baseball-diamond,256,1.0,3,3,11
P0047,ground-track-field,0,1.0,1,1,5
P0047,ground-track-field,16,1.0,1,1,5
P0047,ground-track-field,64,1.0,1,1,5
P0047,ground-track-field,256,1.0,1,1,5
P0047,large-vehicle,0,1.0,4,4,13
P0047,large-vehicle,16,1.0,4,4,7
P0047,large-vehicle,64,0.0,4,0,0
P0047,large-vehicle,256,0.0,4,0,0
P0047,small-vehicle,0,1.0,109,109,12
P0047,small-vehicle,16,0.981651376146789,109,107,8
P0047,small-vehicle,64,0.0,109,0,0
P0047,small-vehicle,256,0.0,109,0,0
P0047,soccer-ball-field,0,1.0,1,1,6
P0047,soccer-ball-field,16,1.0,1,1,6
P0047,soccer-ball-field,64,1.0,1,1,6
P0047,soccer-ball-field,256,1.0,1,1,6
P0053,large-vehicle,0,1.0,11,11,9
P0053,large-vehicle,16,1.0,11,11,9
P0053,large-vehicle,64,1.0,11,11,5
P0053,large-vehicle,256,0.0,11,0,0
P0053,ship,0,1.0,79,79,20
P0053,ship,16,1.0,79,79,20
P0053,ship,64,1.0,79,79,20
P0053,ship,256,0.6962025316455697,79,55,18
P0053,small-vehicle,0,1.0,19,19,13
P0053,small-vehicle,16,1.0,19,19,13
P0053,small-vehicle,64,0.8947368421052632,19,17,11
P0053,small-vehicle,256,0.05263157894736842,19,1,4
P0056,large-vehicle,0,1.0,18,18,10
P0056,large-vehicle,16,1.0,18,18,10
P0056,large-vehicle,64,1.0,18,18,10
P0056,large-vehicle,256,1.0,18,18,10
P0056,small-vehicle,0,1.0,9,9,4
P0056,small-vehicle,16,1.0,9,9,4
P0056,small-vehicle,64,1.0,9,9,3
P0056,small-vehicle,256,0.0,9,0,0
P0060,large-vehicle,0,1.0,4,4,11
P0060,large-vehicle,16,1.0,4,4,8
P0060,large-vehicle,64,0.5,4,2,3
P0060,large-vehicle,256,0.0,4,0,0
P0060,ship,0,1.0,4,4,9
P0060,ship,16,1.0,4,4,7
P0060,ship,64,0.75,4,3,3
P0060,ship,256,0.0,4,0,0
P0060,small-vehicle,0,1.0,351,351,69
P0060,small-vehicle,16,1.0,351,351,64
P0060,small-vehicle,64,0.03133903133903134,351,11,17
P0060,small-vehicle,256,0.0,351,0,0
P0060,swimming-pool,0,1.0,147,147,69
P0060,swimming-pool,16,1.0,147,147,69
P0060,swimming-pool,64,1.0,147,147,69
P0060,swimming-pool,256,0.36054421768707484,147,53,38
P0075,roundabout,0,1.0,1,1,3
P0075,roundabout,16,1.0,1,1,3
P0075,roundabout,64,1.0,1,1,3
P0075,roundabout,256,1.0,1,1,3
P0075,swimming-pool,0,1.0,1,1,2
P0075,swimming-pool,16,1.0,1,1,1
P0075,swimming-pool,64,1.0,1,1,1
P0075,swimming-pool,256,1.0,1,1,1
P0079,roundabout,0,1.0,1,1,5
P0079,roundabout,16,1.0,1,1,5
P0079,roundabout,64,1.0,1,1,5
P0079,roundabout,256,1.0,1,1,5
P0079,small-vehicle,0,1.0,2,2,3
P0079,small-vehicle,16,1.0,2,2,3
P0079,small-vehicle,64,1.0,2,2,3
P0079,small-vehicle,256,0.0,2,0,0
P0079,swimming-pool,0,1.0,1,1,3
P0079,swimming-pool,16,1.0,1,1,3
P0079,swimming-pool,64,1.0,1,1,3
P0079,swimming-pool,256,1.0,1,1,1
P0081,roundabout,0,1.0,1,1,5
P0081,roundabout,16,1.0,1,1,5
P0081,roundabout,64,1.0,1,1,5
P0081,roundabout,256,1.0,1,1,5
P0086,roundabout,0,1.0,1,1,6
P0086,roundabout,16,1.0,1,1,6
P0086,roundabout,64,1.0,1,1,6
P0086,roundabout,256,1.0,1,1,6
P0086,small-vehicle,0,1.0,145,145,15
P0086,small-vehicle,16,1.0,145,145,15
P0086,small-vehicle,64,0.8068965517241379,145,117,11
P0086,small-vehicle,256,0.0,145,0,0
P0086,swimming-pool,0,1.0,2,2,9
P0086,swimming-pool,16,1.0,2,2,9
P0086,swimming-pool,64,1.0,2,2,9
P0086,swimming-pool,256,1.0,2,2,4
