method,threshold,metric,mean,ci95_low,ci95_high
prompt,0,precision_at_10,0.5812458267439823,0.5578975249876192,0.6049469215453791
prompt,0,ndcg_at_10,0.6646269412560054,0.6396730933786886,0.6896226226466232
prompt,0,object_recall_at_10,0.7854154983689096,0.7593428699850568,0.8110029815440961
prompt,16,precision_at_10,0.5540783693551229,0.530410779659756,0.5781712842643572
prompt,16,ndcg_at_10,0.646059238583231,0.6205466170491305,0.6715396235722761
prompt,16,object_recall_at_10,0.7461974925628364,0.719272748505397,0.7728852121088549
prompt,64,precision_at_10,0.4462370409418387,0.4249791426269635,0.46803188230491316
prompt,64,ndcg_at_10,0.5494654159965345,0.524620926933378,0.5741180618865135
prompt,64,object_recall_at_10,0.6074061347975369,0.5804878360476283,0.6341112519612715
prompt,256,precision_at_10,0.30513002987172766,0.2874686113448593,0.32327899902693635
prompt,256,ndcg_at_10,0.3867714149500883,0.36524531895247225,0.4085310285074636
prompt,256,object_recall_at_10,0.3949235594717413,0.3705956763605185,0.4191683021869431
full,0,precision_at_10,0.6253048673343878,0.6027636983487188,0.6481443758867538
full,0,ndcg_at_10,0.7304174797572738,0.7060836472455889,0.7551659442412904
full,0,object_recall_at_10,0.8727144659580843,0.8502602243994231,0.8942653249333249
full,16,precision_at_10,0.5686171147425769,0.5453620597248692,0.5922075603244864
full,16,ndcg_at_10,0.6619079232303692,0.6365555239999294,0.6875935730630769
full,16,object_recall_at_10,0.780283933911162,0.756147485623169,0.8042024386678808
full,64,precision_at_10,0.4394473730451601,0.4188129354048692,0.46068731162581067
full,64,ndcg_at_10,0.5116919789738973,0.4882903920396951,0.5358238652635496
full,64,object_recall_at_10,0.592917887191505,0.5668085772969159,0.619645564687824
full,256,precision_at_10,0.2874916534879638,0.2696066013667491,0.3057520765825416
full,256,ndcg_at_10,0.3336172894934811,0.3127829595360905,0.3547399693779816
full,256,object_recall_at_10,0.3720035174490392,0.3471932562426904,0.3972729590963702
joint,0,precision_at_10,0.6240502547882624,0.6015578135991302,0.6470408931705499
joint,0,ndcg_at_10,0.7293286340741668,0.704974357812067,0.7540883313950026
joint,0,object_recall_at_10,0.8736551135217873,0.8514863774452306,0.8950375108753817
joint,16,precision_at_10,0.5672887014584441,0.5439486060849358,0.5908721943767843
joint,16,ndcg_at_10,0.6604917617262076,0.6352206054776083,0.6862145092218987
joint,16,object_recall_at_10,0.7807236544183482,0.7563503172295138,0.8049767375999975
joint,64,precision_at_10,0.43966877525918197,0.41899827946609136,0.4608446668314902
joint,64,ndcg_at_10,0.5120659848406717,0.48863239298430106,0.5361208356530357
joint,64,object_recall_at_10,0.5945751052354411,0.5684254782383547,0.6211643219570147
joint,256,precision_at_10,0.2875654542259711,0.2696845890676768,0.30582959642498087
joint,256,ndcg_at_10,0.3336651663684183,0.31287356578314723,0.35472966262550176
joint,256,object_recall_at_10,0.37267395142739584,0.3480176549028738,0.39774749555255773
scale_prior,0,precision_at_10,0.6145299595853109,0.5917517101082167,0.6377820579552811
scale_prior,0,ndcg_at_10,0.7123558200075628,0.6876182638755611,0.7374049708554293
scale_prior,0,object_recall_at_10,0.8809640917175734,0.8597308295297451,0.9011287050793741
scale_prior,16,precision_at_10,0.5565137937093667,0.5324224586696096,0.5807294738138492
scale_prior,16,ndcg_at_10,0.6489109931662352,0.6225610238191897,0.6755390706760667
scale_prior,16,object_recall_at_10,0.7843984051081663,0.7598441466193167,0.8087061587931865
scale_prior,64,precision_at_10,0.42697504832191235,0.40573834376534107,0.4490276349714295
scale_prior,64,ndcg_at_10,0.507292884112347,0.4825116106665171,0.5326610231322401
scale_prior,64,object_recall_at_10,0.5943458481392736,0.567174243146471,0.6213657860402158
scale_prior,256,precision_at_10,0.27782375680899674,0.2597395861178209,0.2963165856890812
scale_prior,256,ndcg_at_10,0.3288723957696145,0.30742118802058166,0.35076421832559534
scale_prior,256,object_recall_at_10,0.3685668554250872,0.34330217156648746,0.3940594733379152
matched,0,precision_at_10,0.6165963802495175,0.5936726023451075,0.6399666789050503
matched,0,ndcg_at_10,0.715572964378799,0.690316778801488,0.7410721420152482
matched,0,object_recall_at_10,0.8667316562484789,0.8438092251035801,0.8888212433781707
matched,16,precision_at_10,0.5604252328237581,0.5366766572114282,0.5843532481831847
matched,16,ndcg_at_10,0.6484780986088485,0.622046404384021,0.6751915748850711
matched,16,object_recall_at_10,0.7747996553203194,0.7495538066273975,0.7999339900021012
matched,64,precision_at_10,0.43332191179054746,0.4122715603260422,0.45496613895704907
matched,64,ndcg_at_10,0.5040921893589444,0.47999261615768707,0.528884399542677
matched,64,object_recall_at_10,0.591903756257105,0.5647309383095056,0.6190245866128959
matched,256,precision_at_10,0.28542523282375704,0.2675912797708792,0.3036468440899848
matched,256,ndcg_at_10,0.3302253407748659,0.3091176401530431,0.3516206408596398
matched,256,object_recall_at_10,0.37518981561957543,0.3504203152989445,0.40049288062415084
