method,control,threshold,metric,delta,ci95_low,ci95_high
full,prompt,0,precision_at_10,0.07872340425531926,0.07128127694643877,0.08605843834178586
full,prompt,0,ndcg_at_10,0.09357879544421777,0.08453875685685078,0.10237337677187427
full,prompt,0,object_recall_at_10,0.20791661734994327,0.19060028621399897,0.22486623157967361
full,prompt,16,precision_at_10,-0.018415260454879123,-0.026584238073628155,-0.010308200364131973
full,prompt,16,ndcg_at_10,-0.025718065045808924,-0.035089086097990295,-0.01614345543161903
full,prompt,16,object_recall_at_10,0.016466171885361758,0.0011914931731455169,0.03277626680240811
full,prompt,64,precision_at_10,-0.0898019075568599,-0.10015234626910963,-0.07963896466667748
full,prompt,64,ndcg_at_10,-0.13583156325556037,-0.14828527727745502,-0.1237280598364103
full,prompt,64,object_recall_at_10,-0.10108517445489423,-0.11321090736685767,-0.08908476667676847
full,prompt,256,precision_at_10,-0.030667644900953854,-0.03548387096774196,-0.026234335259995464
full,prompt,256,ndcg_at_10,-0.0656478924055435,-0.0739971931931803,-0.057797917118660114
full,prompt,256,object_recall_at_10,-0.013838154227806869,-0.018150524502598027,-0.010120201957564202
full,joint,0,precision_at_10,0.0005869405722669363,-0.0012271384527777428,0.002424698211120557
full,joint,0,ndcg_at_10,0.0008190940213772535,-0.0009026894469968654,0.0024899822798201765
full,joint,0,object_recall_at_10,-0.006498191490943328,-0.010375445169553587,-0.0028747931700723235
full,joint,16,precision_at_10,0.0016140865737343524,-0.00021771077403703596,0.0034059005060108447
full,joint,16,ndcg_at_10,0.0017308788011199394,0.00011471039283507956,0.003270610029757098
full,joint,16,object_recall_at_10,-0.0031586845612543435,-0.0062238438335270345,-0.0004065080933235252
full,joint,64,precision_at_10,0.00014673514306673408,-0.001332347707739149,0.00160188252603495
full,joint,64,ndcg_at_10,0.0004280929132297606,-0.0008904876455773327,0.0017660397634202427
full,joint,64,object_recall_at_10,-0.0037429943811750077,-0.006608533498473195,-0.0010035291607698295
full,joint,256,precision_at_10,0.00044020542920029243,-0.0003003059408018068,0.0012265733664650683
full,joint,256,ndcg_at_10,0.0004139861484694675,-0.0004341019520318915,0.0012838308765012673
full,joint,256,object_recall_at_10,-0.0003147885148875214,-0.0010075717343588139,0.0003524490507791996
full,scale_prior,0,precision_at_10,0.03250183418928787,0.026431372871326013,0.038584003218843275
full,scale_prior,0,ndcg_at_10,0.04631002203860857,0.039016514343155825,0.05346575719176217
full,scale_prior,0,object_recall_at_10,0.022980802858011184,0.008682932312487618,0.037437707259515514
full,scale_prior,16,precision_at_10,0.031841526045487345,0.026133506906388618,0.03752760203754548
full,scale_prior,16,ndcg_at_10,0.03934413010857396,0.03290202181931978,0.04600326027218188
full,scale_prior,16,object_recall_at_10,0.019947575856992028,0.009199877352617285,0.031057528099730305
full,scale_prior,64,precision_at_10,0.026045487894350655,0.021377179681180258,0.03086877625498482
full,scale_prior,64,ndcg_at_10,0.024203406437553365,0.018775453841267307,0.029636318510077062
full,scale_prior,64,object_recall_at_10,0.028709931725263108,0.019894088885437904,0.03809254929304316
full,scale_prior,256,precision_at_10,0.0051357300073367786,0.0031640687611783702,0.007159009579585277
full,scale_prior,256,ndcg_at_10,0.004488966979006049,0.0017548571867588769,0.007301891893162245
full,scale_prior,256,object_recall_at_10,0.003788467993448624,0.0016488610971256933,0.00647255747755164
full,matched,0,precision_at_10,0.023257520176082125,0.01797750764601004,0.028383353497271
full,matched,0,ndcg_at_10,0.038006293041184414,0.03125141413147477,0.044744273535080835
full,matched,0,object_recall_at_10,0.035924328381767845,0.02090901040455926,0.05072342200358734
full,matched,16,precision_at_10,0.01709464416727774,0.01279223057644108,0.021253871443241087
full,matched,16,ndcg_at_10,0.028342246768495505,0.022868091852372978,0.0339639184438492
full,matched,16,object_recall_at_10,0.01502599496697038,0.004751833202143485,0.025682137704455585
full,matched,64,precision_at_10,0.0054292002934703265,0.002505682871966617,0.008327083164843284
full,matched,64,ndcg_at_10,0.007891781089288896,0.003939788299433153,0.011935335506662379
full,matched,64,object_recall_at_10,-0.003585221055905252,-0.009265405613933797,0.0021578804981035754
full,matched,256,precision_at_10,-0.0013939838591342686,-0.0024981088848483285,-0.00034983424361155924
full,matched,256,ndcg_at_10,-0.0018179553017578648,-0.0032529006171148605,-0.00044495113847730895
full,matched,256,object_recall_at_10,-0.0008050837713004036,-0.0025055379574039365,0.0012114605184605069
