method,image_id,class_name,threshold,precision_at_10,ndcg_at_10,object_recall_at_10
prompt,00249,airplane,0,0.4,0.44988737637276544,0.8076923076923077
prompt,00249,airplane,16,0.4,0.44988737637276544,0.8076923076923077
prompt,00249,airplane,64,0.4,0.44988737637276544,0.5769230769230769
prompt,00249,airplane,256,0.2,0.3084274278260313,0.038461538461538464
prompt,00249,helicopter,0,0.0,0.0,0.0
prompt,00249,helicopter,16,0.0,0.0,0.0
prompt,00249,helicopter,64,0.0,0.0,0.0
prompt,00249,helicopter,256,0.0,0.0,0.0
prompt,00249,large-vehicle,0,0.3,0.2742654694553681,0.4166666666666667
prompt,00249,large-vehicle,16,0.1,0.16958010263680806,0.08333333333333333
prompt,00249,large-vehicle,64,0.0,0.0,0.0
prompt,00249,large-vehicle,256,0.0,0.0,0.0
prompt,00249,small-vehicle,0,0.7,0.6848374495230163,0.38126009693053314
prompt,00249,small-vehicle,16,0.1,0.1480409554829326,0.0016155088852988692
prompt,00249,small-vehicle,64,0.0,0.0,0.0
prompt,00249,small-vehicle,256,0.0,0.0,0.0
prompt,00249,storage-tank,0,0.0,0.0,0.0
prompt,00249,storage-tank,16,0.0,0.0,0.0
prompt,00249,storage-tank,64,0.0,0.0,0.0
prompt,00249,storage-tank,256,0.0,0.0,0.0
prompt,00249,swimming-pool,0,0.3,0.9060254355346823,1.0
prompt,00249,swimming-pool,16,0.3,0.9060254355346823,1.0
prompt,00249,swimming-pool,64,0.2,0.8772153153380493,0.5
prompt,00249,swimming-pool,256,0.0,0.0,0.0
prompt,00252,windmill,0,1.0,1.0,0.2358490566037736
prompt,00252,windmill,16,1.0,1.0,0.22641509433962265
prompt,00252,windmill,64,0.7,0.5309999066793252,0.12264150943396226
prompt,00252,windmill,256,0.0,0.0,0.0
prompt,00256,container,0,0.2,0.19518900079066107,0.125
prompt,00256,container,16,0.2,0.19518900079066107,0.125
prompt,00256,container,64,0.0,0.0,0.0
prompt,00256,container,256,0.0,0.0,0.0
prompt,00256,large-vehicle,0,0.4,0.31561692740233804,0.14084507042253522
prompt,00256,large-vehicle,16,0.3,0.23047380976071707,0.14084507042253522
prompt,00256,large-vehicle,64,0.0,0.0,0.0
prompt,00256,large-vehicle,256,0.0,0.0,0.0
prompt,00256,ship,0,0.0,0.0,0.0
prompt,00256,ship,16,0.0,0.0,0.0
prompt,00256,ship,64,0.0,0.0,0.0
prompt,00256,ship,256,0.0,0.0,0.0
prompt,00256,small-vehicle,0,1.0,1.0,0.4166666666666667
prompt,00256,small-vehicle,16,0.4,0.42650769853316917,0.0031847133757961785
prompt,00256,small-vehicle,64,0.0,0.0,0.0
prompt,00256,small-vehicle,256,0.0,0.0,0.0
prompt,00256,storage-tank,0,0.2,0.3372569370235428,0.1320754716981132
prompt,00256,storage-tank,16,0.2,0.3372569370235428,0.1320754716981132
prompt,00256,storage-tank,64,0.2,0.45221360703148816,0.1320754716981132
prompt,00256,storage-tank,256,0.1,1.0,0.018867924528301886
prompt,00257,container,0,0.8,0.8603818544462509,0.6447368421052632
prompt,00257,container,16,0.8,0.8603818544462509,0.6447368421052632
prompt,00257,container,64,0.4,0.5321408435198608,0.6118421052631579
prompt,00257,container,256,0.0,0.0,0.0
prompt,00257,large-vehicle,0,0.3,0.35970991185182927,0.46153846153846156
prompt,00257,large-vehicle,16,0.3,0.35970991185182927,0.46153846153846156
prompt,00257,large-vehicle,64,0.2,0.2934556883974402,0.3076923076923077
prompt,00257,large-vehicle,256,0.0,0.0,0.0
prompt,00257,small-vehicle,0,0.4,0.3098064936645125,0.30428571428571427
prompt,00257,small-vehicle,16,0.2,0.1487639058405727,0.03857142857142857
prompt,00257,small-vehicle,64,0.0,0.0,0.0
prompt,00257,small-vehicle,256,0.0,0.0,0.0
prompt,00262,container,0,0.0,0.0,0.0
prompt,00262,container,16,0.0,0.0,0.0
prompt,00262,container,64,0.0,0.0,0.0
prompt,00262,container,256,0.0,0.0,0.0
prompt,00262,large-vehicle,0,0.4,0.4662774717636409,0.1111111111111111
prompt,00262,large-vehicle,16,0.2,0.35079429740281753,0.1111111111111111
prompt,00262,large-vehicle,64,0.0,0.0,0.0
prompt,00262,large-vehicle,256,0.0,0.0,0.0
prompt,00262,small-vehicle,0,0.8,0.7917063341896681,0.10497237569060773
prompt,00262,small-vehicle,16,0.0,0.0,0.0
prompt,00262,small-vehicle,64,0.0,0.0,0.0
prompt,00262,small-vehicle,256,0.0,0.0,0.0
prompt,00262,storage-tank,0,0.1,0.3903800499921017,0.8333333333333334
prompt,00262,storage-tank,16,0.1,0.3903800499921017,0.8333333333333334
prompt,00262,storage-tank,64,0.1,0.3903800499921017,0.625
prompt,00262,storage-tank,256,0.1,0.6131471927654584,0.08333333333333333
