image_id,class_name,threshold,object_recall_bound,target_objects,available_objects,qualified_patches
00249,airplane,0,1.0,26,26,14
00249,airplane,16,1.0,26,26,14
00249,airplane,64,0.6923076923076923,26,18,12
00249,airplane,256,0.11538461538461539,26,3,3
00249,helicopter,0,1.0,1,1,2
00249,helicopter,16,1.0,1,1,2
00249,helicopter,64,1.0,1,1,1
00249,helicopter,256,0.0,1,0,0
00249,large-vehicle,0,1.0,12,12,15
00249,large-vehicle,16,0.4166666666666667,12,5,4
00249,large-vehicle,64,0.0,12,0,0
00249,large-vehicle,256,0.0,12,0,0
00249,small-vehicle,0,0.9983844911147012,619,618,37
00249,small-vehicle,16,0.0032310177705977385,619,2,3
00249,small-vehicle,64,0.0,619,0,0
00249,small-vehicle,256,0.0,619,0,0
00249,storage-tank,0,1.0,2,2,3
00249,storage-tank,16,1.0,2,2,2
00249,storage-tank,64,0.0,2,0,0
00249,storage-tank,256,0.0,2,0,0
00249,swimming-pool,0,1.0,2,2,3
00249,swimming-pool,16,1.0,2,2,3
00249,swimming-pool,64,0.5,2,1,2
00249,swimming-pool,256,0.0,2,0,0
00252,windmill,0,0.9811320754716981,106,104,89
00252,windmill,16,0.9811320754716981,106,104,89
00252,windmill,64,0.9245283018867925,106,98,69
00252,windmill,256,0.0,106,0,0
00256,container,0,1.0,24,24,23
00256,container,16,1.0,24,24,11
00256,container,64,0.0,24,0,0
00256,container,256,0.0,24,0,0
00256,large-vehicle,0,1.0,71,71,51
00256,large-vehicle,16,0.9436619718309859,71,67,37
00256,large-vehicle,64,0.014084507042253521,71,1,1
00256,large-vehicle,256,0.0,71,0,0
00256,ship,0,1.0,5,5,9
00256,ship,16,1.0,5,5,6
00256,ship,64,0.4,5,2,1
00256,ship,256,0.0,5,0,0
00256,small-vehicle,0,0.9941613588110403,1884,1873,67
00256,small-vehicle,16,0.01751592356687898,1884,33,21
00256,small-vehicle,64,0.0,1884,0,0
00256,small-vehicle,256,0.0,1884,0,0
00256,storage-tank,0,1.0,53,53,8
00256,storage-tank,16,1.0,53,53,8
00256,storage-tank,64,0.41509433962264153,53,22,5
00256,storage-tank,256,0.018867924528301886,53,1,1
00257,container,0,1.0,304,304,39
00257,container,16,1.0,304,304,39
00257,container,64,0.9703947368421053,304,295,23
00257,container,256,0.0,304,0,0
00257,large-vehicle,0,1.0,13,13,23
00257,large-vehicle,16,1.0,13,13,23
00257,large-vehicle,64,1.0,13,13,11
00257,large-vehicle,256,0.0,13,0,0
00257,small-vehicle,0,1.0,700,700,37
00257,small-vehicle,16,1.0,700,700,27
00257,small-vehicle,64,0.002857142857142857,700,2,3
00257,small-vehicle,256,0.0,700,0,0
00262,container,0,1.0,24,24,4
00262,container,16,0.20833333333333334,24,5,2
00262,container,64,0.0,24,0,0
00262,container,256,0.0,24,0,0
00262,large-vehicle,0,1.0,9,9,18
00262,large-vehicle,16,0.8888888888888888,9,8,7
00262,large-vehicle,64,0.0,9,0,0
00262,large-vehicle,256,0.0,9,0,0
00262,small-vehicle,0,0.988950276243094,181,179,55
00262,small-vehicle,16,0.022099447513812154,181,4,2
00262,small-vehicle,64,0.0,181,0,0
00262,small-vehicle,256,0.0,181,0,0
00262,storage-tank,0,1.0,24,24,4
00262,storage-tank,16,1.0,24,24,4
00262,storage-tank,64,0.7083333333333334,24,17,4
00262,storage-tank,256,0.08333333333333333,24,2,2
00266,airplane,0,1.0,14,14,14
00266,airplane,16,1.0,14,14,14
00266,airplane,64,1.0,14,14,12
00266,airplane,256,0.14285714285714285,14,2,6
00266,container,0,1.0,1,1,4
00266,container,16,1.0,1,1,3
00266,container,64,0.0,1,0,0
00266,container,256,0.0,1,0,0
00266,large-vehicle,0,1.0,14,14,20
00266,large-vehicle,16,1.0,14,14,20
00266,large-vehicle,64,0.9285714285714286,14,13,13
00266,large-vehicle,256,0.0,14,0,0
00266,ship,0,1.0,2,2,4
00266,ship,16,1.0,2,2,2
00266,ship,64,0.0,2,0,0
00266,ship,256,0.0,2,0,0
00266,small-vehicle,0,1.0,613,613,78
00266,small-vehicle,16,0.9086460032626428,613,557,64
00266,small-vehicle,64,0.0016313213703099511,613,1,2
00266,small-vehicle,256,0.0,613,0,0
00266,swimming-pool,0,1.0,5,5,12
00266,swimming-pool,16,1.0,5,5,11
00266,swimming-pool,64,0.8,5,4,6
00266,swimming-pool,256,0.0,5,0,0
00269,windmill,0,1.0,23,23,49
00269,windmill,16,1.0,23,23,48
00269,windmill,64,0.9130434782608695,23,21,28
00269,windmill,256,0.043478260869565216,23,1,2
00283,large-vehicle,0,1.0,10,10,22
00283,large-vehicle,16,1.0,10,10,20
00283,large-vehicle,64,0.7,10,7,10
00283,large-vehicle,256,0.1,10,1,1
00283,small-vehicle,0,1.0,3818,3818,76
00283,small-vehicle,16,1.0,3818,3818,67
00283,small-vehicle,64,0.00497642744892614,3818,19,13
00283,small-vehicle,256,0.0,3818,0,0
00284,airplane,0,1.0,141,141,52
00284,airplane,16,0.9574468085106383,141,135,52
00284,airplane,64,0.7021276595744681,141,99,43
00284,airplane,256,0.11347517730496454,141,16,12
00284,storage-tank,0,1.0,21,21,4
00284,storage-tank,16,1.0,21,21,4
00284,storage-tank,64,0.5238095238095238,21,11,3
00284,storage-tank,256,0.0,21,0,0
00286,large-vehicle,0,1.0,16,16,21
00286,large-vehicle,16,1.0,16,16,21
