method,threshold,metric,mean,ci95_low,ci95_high
prompt,0,precision_at_10,0.4234042553191489,0.40282068810641936,0.4440589041270257
prompt,0,ndcg_at_10,0.45615827272718146,0.4353445115772568,0.4771355665343721
prompt,0,object_recall_at_10,0.4726817617682677,0.4537710581324613,0.4919623860198337
prompt,16,precision_at_10,0.37872340425531936,0.35741482641959754,0.4001501728314416
prompt,16,ndcg_at_10,0.41675341177025804,0.3956788873419215,0.43823267736008126
prompt,16,object_recall_at_10,0.40141970428489815,0.3821278981596878,0.42062883152946107
prompt,64,precision_at_10,0.23110785033015377,0.214528188939096,0.2484401077966195
prompt,64,ndcg_at_10,0.2863971533786912,0.26842985004997283,0.30491788881276355
prompt,64,object_recall_at_10,0.22840504833516176,0.21351162951293365,0.24396082343095488
prompt,256,precision_at_10,0.04658840792369781,0.0407651879077577,0.05277560742856973
prompt,256,ndcg_at_10,0.08567870865183001,0.07583733468619015,0.09630476068110717
prompt,256,object_recall_at_10,0.02612826551775925,0.021136261927031726,0.03163375255977679
full,0,precision_at_10,0.5021276595744681,0.4805795543088669,0.5232122917692894
full,0,ndcg_at_10,0.5497370681713992,0.5291975745178691,0.5701250082452698
full,0,object_recall_at_10,0.680598379118211,0.6623687235742374,0.698579160114501
full,16,precision_at_10,0.36030814380044024,0.33971875094797527,0.3809596851578827
full,16,ndcg_at_10,0.3910353467244491,0.37042344527301163,0.4118968524366211
full,16,object_recall_at_10,0.4178858761702599,0.39886584014199994,0.43763695118043966
full,64,precision_at_10,0.14130594277329386,0.12989012564671104,0.1533636202675601
full,64,ndcg_at_10,0.15056559012313084,0.13861957380358467,0.1628349173876204
full,64,object_recall_at_10,0.12731987388026753,0.11521676793540635,0.14009478070325382
full,256,precision_at_10,0.015920763022743957,0.013155902741968747,0.018859423608710672
full,256,ndcg_at_10,0.02003081624628651,0.016536800702735915,0.023709310432413727
full,256,object_recall_at_10,0.012290111289952381,0.00854834749869894,0.016584671932258453
joint,0,precision_at_10,0.5015407190022012,0.4800719859035438,0.5225434391981121
joint,0,ndcg_at_10,0.548917974150022,0.5285768433048289,0.5692881818413389
joint,0,object_recall_at_10,0.6870965706091543,0.6691219955792758,0.7049767564801316
joint,16,precision_at_10,0.3586940572267059,0.3382227847853841,0.3792935145589577
joint,16,ndcg_at_10,0.3893044679233292,0.3689328568071822,0.4101668578725509
joint,16,object_recall_at_10,0.42104456073151425,0.4018770392560046,0.44094896173317655
joint,64,precision_at_10,0.14115920763022713,0.12969600102871265,0.15308646514161225
joint,64,ndcg_at_10,0.15013749720990108,0.1383632027173314,0.16242314656991808
joint,64,object_recall_at_10,0.13106286826144253,0.11886240808640529,0.14397019993472274
joint,256,precision_at_10,0.015480557593543665,0.012818603831806769,0.01832472880552956
joint,256,ndcg_at_10,0.01961683009781704,0.016243101715050303,0.023242370244270394
joint,256,object_recall_at_10,0.012604899804839902,0.008788819740244464,0.017005612922318527
scale_prior,0,precision_at_10,0.4696258253851803,0.44816841123129536,0.49054367872964294
scale_prior,0,ndcg_at_10,0.5034270461327907,0.48245259235396376,0.5241598887190441
scale_prior,0,object_recall_at_10,0.6576175762601998,0.6392063030915658,0.6761424946838545
scale_prior,16,precision_at_10,0.3284666177549529,0.3085552956452357,0.3490555423719876
scale_prior,16,ndcg_at_10,0.35169121661587516,0.33164229500430503,0.37219928685114606
scale_prior,16,object_recall_at_10,0.3979383003132679,0.37862952302287795,0.41745860567102716
scale_prior,64,precision_at_10,0.11526045487894321,0.10489525440475221,0.12604838341609464
scale_prior,64,ndcg_at_10,0.12636218368557747,0.11521770023506045,0.13796432747303405
scale_prior,64,object_recall_at_10,0.09860994215500442,0.08842901875295325,0.10913534847795114
scale_prior,256,precision_at_10,0.010785033015407178,0.008679789005837322,0.013008753099432478
scale_prior,256,ndcg_at_10,0.01554184926728046,0.012117640238699937,0.019093510471649363
scale_prior,256,object_recall_at_10,0.008501643296503757,0.005385618282408098,0.012146424690805978
matched,0,precision_at_10,0.478870139398386,0.4572931768749907,0.5000730088257743
matched,0,ndcg_at_10,0.5117307751302148,0.4908778266865782,0.532682011238587
matched,0,object_recall_at_10,0.6446740507364431,0.6258030214923257,0.6629065625738285
matched,16,precision_at_10,0.3432134996331625,0.32317330040711434,0.363837399048804
matched,16,ndcg_at_10,0.3626930999559536,0.3424739012620659,0.3833829917604657
matched,16,object_recall_at_10,0.4028598812032895,0.38421769712047377,0.42231704345391086
matched,64,precision_at_10,0.13587674247982354,0.12485119607311464,0.14745104847494547
matched,64,ndcg_at_10,0.14267380903384194,0.13125473062996296,0.15448308081195777
matched,64,object_recall_at_10,0.13090509493617278,0.11927651728711397,0.14318253293454253
matched,256,precision_at_10,0.017314746881878226,0.01456308938446323,0.02026298843995624
matched,256,ndcg_at_10,0.021848771548044373,0.018365384899517025,0.025562526516039765
matched,256,object_recall_at_10,0.013095195061252785,0.009399677350609807,0.017201249403461204
