method,metric,num_queries,num_images,mean,ci95_low,ci95_high,dataset
semantic,hit_at_1,5420,458,0.6562730627306274,0.6296291175024582,0.6826708520138195,DOTA-v1.5
semantic,hit_at_5,5420,458,0.8618081180811809,0.8411381263050268,0.8823310958036513,DOTA-v1.5
semantic,hit_at_10,5420,458,0.9136531365313652,0.8962763570893983,0.9303283317697018,DOTA-v1.5
semantic,precision_at_5,5420,458,0.6034071340713418,0.5792265916376523,0.6278353160882515,DOTA-v1.5
semantic,precision_at_10,5420,458,0.5669100333860473,0.5432723032127164,0.5909931544960499,DOTA-v1.5
semantic,recall_at_5,5420,458,0.329586901418566,0.3055441875198834,0.3548809268831261,DOTA-v1.5
semantic,recall_at_10,5420,458,0.5122330250218459,0.4810482302793911,0.5449185994720327,DOTA-v1.5
semantic,ndcg_at_5,5420,458,0.631695147891238,0.6068895342092204,0.656533024311594,DOTA-v1.5
semantic,ndcg_at_10,5420,458,0.6468392742166168,0.6213993125027898,0.6723421258483008,DOTA-v1.5
semantic,object_recall_at_5,5420,458,0.6489014754144691,0.6203187786506128,0.6779411050633504,DOTA-v1.5
semantic,object_recall_at_10,5420,458,0.7731047108142778,0.747022487060562,0.7987982586070614,DOTA-v1.5
prompt,hit_at_1,5420,458,0.6797047970479705,0.6515802105110702,0.7072635511872705,DOTA-v1.5
prompt,hit_at_5,5420,458,0.8649446494464945,0.8428243456140112,0.886433345142261,DOTA-v1.5
prompt,hit_at_10,5420,458,0.9202952029520296,0.902839761704231,0.9369042303373594,DOTA-v1.5
prompt,precision_at_5,5420,458,0.6164329643296432,0.5922617544492546,0.6409241980439259,DOTA-v1.5
prompt,precision_at_10,5420,458,0.5812458267439822,0.5578975249876194,0.6049469215453791,DOTA-v1.5
prompt,recall_at_5,5420,458,0.3342128349890088,0.3101974797547904,0.3595727997495642,DOTA-v1.5
prompt,recall_at_10,5420,458,0.5235904455592689,0.4930245857017486,0.5556730400464329,DOTA-v1.5
prompt,ndcg_at_5,5420,458,0.6479867728200983,0.623304698537511,0.6728829318694386,DOTA-v1.5
prompt,ndcg_at_10,5420,458,0.664626941256006,0.6396730933786885,0.6896226226466232,DOTA-v1.5
prompt,object_recall_at_5,5420,458,0.658527819479701,0.6283601409235301,0.6888905282465786,DOTA-v1.5
prompt,object_recall_at_10,5420,458,0.7854154983689097,0.7593428699850566,0.8110029815440961,DOTA-v1.5
