dataset,method,metric,value
DOTA-v1.5,semantic,hit_at_1,0.6562730627306274
DOTA-v1.5,semantic,precision_at_10,0.5669100333860473
DOTA-v1.5,semantic,ndcg_at_10,0.6468392742166168
DOTA-v1.5,semantic,object_recall_at_10,0.7731047108142778
DOTA-v1.5,prompt,hit_at_1,0.6797047970479705
DOTA-v1.5,prompt,precision_at_10,0.5812458267439822
DOTA-v1.5,prompt,ndcg_at_10,0.664626941256006
DOTA-v1.5,prompt,object_recall_at_10,0.7854154983689097
DOTA-v1.5,graph,hit_at_1,0.7345018450184502
DOTA-v1.5,graph,precision_at_10,0.6146222105078191
DOTA-v1.5,graph,ndcg_at_10,0.7162738664930417
DOTA-v1.5,graph,object_recall_at_10,0.8482157896270361
DOTA-v1.5,priver,hit_at_1,0.7498154981549815
DOTA-v1.5,priver,precision_at_10,0.623976454050255
DOTA-v1.5,priver,ndcg_at_10,0.7278366823009225
DOTA-v1.5,priver,object_recall_at_10,0.8567727053779735
SODA-A,semantic,hit_at_1,0.4794570799706529
SODA-A,semantic,precision_at_10,0.4141966250917093
SODA-A,semantic,ndcg_at_10,0.4448807253696322
SODA-A,semantic,object_recall_at_10,0.4669685616882267
SODA-A,prompt,hit_at_1,0.4922964049889948
SODA-A,prompt,precision_at_10,0.4234042553191491
SODA-A,prompt,ndcg_at_10,0.456158272727181
SODA-A,prompt,object_recall_at_10,0.4726817617682686
SODA-A,graph,hit_at_1,0.5753851797505503
SODA-A,graph,precision_at_10,0.4901504035216437
SODA-A,graph,ndcg_at_10,0.534341987020082
SODA-A,graph,object_recall_at_10,0.6261001544673082
SODA-A,priver,hit_at_1,0.5942773294203962
SODA-A,priver,precision_at_10,0.4983859134262655
SODA-A,priver,ndcg_at_10,0.5449586985952198
SODA-A,priver,object_recall_at_10,0.6391580247933775
