dataset,method,precision_at_10,ndcg_at_10,object_recall_at_10
DOTA-v1.5,prompt,0.5812458267439822,0.664626941256006,0.7854154983689097
DOTA-v1.5,same_scale_only,0.5813196274819894,0.6637227670317287,0.7633307351260886
DOTA-v1.5,inter_scale_only,0.623755051836233,0.7290713273483735,0.8651796947239666
DOTA-v1.5,all_overlap_no_degree,0.6196222105078196,0.7201171810052784,0.8400525868518092
DOTA-v1.5,reciprocal_no_degree,0.6196222105078196,0.7200880708332994,0.8399028380182815
DOTA-v1.5,priver,0.623976454050255,0.7278366823009225,0.8567727053779735
SODA-A,prompt,0.4234042553191491,0.45615827272718107,0.4726817617682686
SODA-A,same_scale_only,0.42802641232575206,0.45758066310151174,0.4593883997528478
SODA-A,inter_scale_only,0.49882611885546585,0.5451571378953921,0.6578922230327936
SODA-A,all_overlap_no_degree,0.5022743947175347,0.545997179865857,0.61856406296257
SODA-A,reciprocal_no_degree,0.5016874541452676,0.5456792819717702,0.6192878357435092
SODA-A,priver,0.49838591342626554,0.5449586985952198,0.6391580247933775
