dataset,threshold,metric,delta,ci95_low,ci95_high
DOTA-v1.5,0.2,precision_at_10,0.0414760147601476,0.03557528372706213,0.04742279572868394
DOTA-v1.5,0.2,ndcg_at_10,0.06074979764942151,0.053487235869870135,0.06817696268408929
DOTA-v1.5,0.2,object_recall_at_10,0.06958826952921808,0.05579406003418234,0.08405338251579657
DOTA-v1.5,0.3,precision_at_10,0.04273062730627306,0.036869342087780886,0.04867485948724129
DOTA-v1.5,0.3,ndcg_at_10,0.06320974104491693,0.05582256851536298,0.07076613407997542
DOTA-v1.5,0.3,object_recall_at_10,0.0713572070090635,0.05746205192829597,0.0858220516689084
DOTA-v1.5,0.4,precision_at_10,0.04228782287822878,0.036363458667993794,0.048275990928302655
DOTA-v1.5,0.4,ndcg_at_10,0.0652951568208107,0.057651238826595536,0.07308489240774813
DOTA-v1.5,0.4,object_recall_at_10,0.07373622570786345,0.059777429473873926,0.08839119521150535
DOTA-v1.5,0.5,precision_at_10,0.04346863468634686,0.03730983426977244,0.049630298989332085
DOTA-v1.5,0.5,ndcg_at_10,0.06973833155815783,0.061729113352937126,0.07788093508035457
DOTA-v1.5,0.5,object_recall_at_10,0.07641395687246598,0.06235813950351004,0.09122371216428264
SODA-A,0.2,precision_at_10,0.07468818782098312,0.06754059109988529,0.08192509900520138
SODA-A,0.2,ndcg_at_10,0.08866767727220402,0.0798577211781906,0.09724921268452567
SODA-A,0.2,object_recall_at_10,0.16621139104499788,0.14961177601461215,0.1828909662767998
SODA-A,0.3,precision_at_10,0.07498165810711664,0.06785973953339698,0.08220492292896556
SODA-A,0.3,ndcg_at_10,0.0888004258680383,0.0799852136670274,0.09748036705642103
SODA-A,0.3,object_recall_at_10,0.16647626302510934,0.14975941686965075,0.1831732857554454
SODA-A,0.4,precision_at_10,0.07498165810711664,0.06798537819114617,0.08217413091895022
SODA-A,0.4,ndcg_at_10,0.08841607481621258,0.07958839320454837,0.09702530146944689
SODA-A,0.4,object_recall_at_10,0.16739263579403663,0.15072564851600864,0.18399428878497762
SODA-A,0.5,precision_at_10,0.07461482024944975,0.06765108322327726,0.08179914484531298
SODA-A,0.5,ndcg_at_10,0.08847415813118659,0.0796732756044111,0.09711493580009098
SODA-A,0.5,object_recall_at_10,0.1678831018362574,0.151410868021787,0.18458314742253878
